date,Country,GDP,Unemployment Rate,Inflation Rate,Current Account Balance,Year,Period,GDP_YoY_Change,Unemployment Rate_YoY_Change,Inflation Rate_YoY_Change,Current Account Balance_YoY_Change
2005-01-01,India,820383763511.445,8.697,66.0438512553292,-10283543307.9807,2005,2000-2005,15.685060517790506,1.7074026429657163,4.246343620319193,-1418.072250891955
2006-01-01,India,940259888787.721,8.614,69.8720985315016,-9299060317.4628,2006,2006-2010,14.61220109515291,-0.9543520754282886,5.7965233756162915,-9.573383035727357
2007-01-01,India,1216736438834.96,8.534,74.3249644718143,-8075694483.59495,2007,2006-2010,29.40426932427169,-0.9287206872533038,6.372881355932258,-13.155800608911827
2008-01-01,India,1198895139005.92,8.486,80.5305542396968,-30971987180.9349,2008,2006-2010,-1.4663241158556328,-0.5624560581204641,8.349267049075815,283.52103641181225
2009-01-01,India,1341888016994.9,8.406,89.2941733775462,-26186435956.9107,2009,2006-2010,11.92705461359569,-0.942729201037007,10.88235294117652,-15.451224346915616
2010-01-01,India,1675615519484.96,8.318,100.0,-54515877624.3661,2010,2006-2010,24.86999647239032,-1.0468712824173276,11.989389920424376,108.18364787812658
2011-01-01,India,1823051829895.13,8.222,108.911793364834,-62517637221.5214,2011,2011-2015,8.79893440325068,-1.1541235874008238,8.911793364833986,14.677851565172052
2012-01-01,India,1827637590410.95,8.156,119.235538897084,-91471245845.7231,2012,2011-2015,0.25154306864023646,-0.8027243979566889,9.478996914197712,46.31270455984948
2013-01-01,India,1856721507621.46,8.088,131.18041028234,-49122670387.7036,2013,2011-2015,1.5913394079386523,-0.8337420304070808,10.01787847460982,-46.297145148154314
2014-01-01,India,2039126479155.27,7.992,139.924446113916,-27314281992.5894,2014,2011-2015,9.824035041608292,-1.186943620178027,6.66565671867938,-44.39577128643495
2015-01-01,India,2103588360044.39,7.894,146.790501522574,-22456838009.6209,2015,2011-2015,3.1612497580740584,-1.2262262262262236,4.906973441272866,-17.78353164943661
2016-01-01,India,2294796885663.67,7.8,154.054013105394,-12113787707.3688,2016,2016-2020,9.08963603579005,-1.1907778059285556,4.948216340621325,-46.05746498158359
2017-01-01,India,2651474262755.59,7.723,159.18119775209,-38167659223.511,2017,2016-2020,15.54287350310599,-0.9871794871794903,3.328173374612642,215.0761772083365
2018-01-01,India,2702929641648.14,7.652,165.451068899504,-65599439052.6676,2018,2016-2020,1.9406327874016194,-0.919331865855233,3.9388264669165007,71.87178985359108
2019-01-01,India,2835606256558.84,6.51,171.621576003377,-29762864650.3282,2019,2016-2020,4.908622587371481,-14.924202822791433,3.7295057353911476,-54.62939153117973
2020-01-01,India,2674851578586.86,7.859,182.988822584425,32730048588.208,2020,2016-2020,-5.669146680719505,20.721966205837173,6.623436776285252,-209.96941649515276
2021-01-01,India,3167270623260.52,6.38,192.378724699015,-33422359357.9398,2021,2021-2023,18.409210014329403,-18.81918819188192,5.131407471763927,-202.11521461040917
2022-01-01,India,3353470496885.95,4.822,205.266241146235,-79050941951.324,2022,2021-2023,5.878874771797937,-24.42006269592476,6.699034140798599,136.52112977638936
2023-01-01,India,3549918918777.53,4.172,216.862025027426,-30246005745.6095,2023,2021-2023,5.858063223576959,-13.479883865615939,5.649143189079009,-61.738589068004245
2022-01-01,South Africa,405270850098.738,28.838,183.682744465621,-1877973944.67041,2022,2021-2023,,,,
2023-01-01,South Africa,377781600985.873,27.988,194.839466353907,-6143218091.43801,2023,2021-2023,-6.782932724168955,-2.947499826617661,6.0739085322051745,227.1194527949728
